Asymmetry_Score_1,Asymmetry_Score_2,Border_Irregularity_Score,Color_Asymmetry_Score_1,Color_Asymmetry_Score_2,Texture_Contrast_Score,Texture_Dissimilarity_Score
0.0904,0.02536,0.002743,98.06,1.12,112.5,1.556
0.1156,0.01018,0.001361,10.68,0.2212,55.5,0.7134
0.1584,0.0374,0.001976,38.94,0.793,79.0,0.9395
0.523,0.07416,0.001392,19.34,0.72,111.9,1.437
0.08374,0.0062,0.00277,37.4,1.454,88.2,1.722
0.05353,0.002497,0.005627,74.1,2.36,267.8,3.186
0.273,0.05243,0.003725,42.97,1.494,89.44,1.466
0.2448,0.07263,0.002548,45.53,0.844,168.9,2.094
0.4211,0.11774,0.001749,52.0,1.866,75.2,1.142
0.4182,0.0685,0.002357,21.58,0.6855,108.44,1.33
0.08887,0.04596,0.003336,97.25,1.651,259.0,3.629
0.3386,0.1289,0.003387,121.7,2.69,295.0,2.592
0.2607,0.0839,0.004986,126.6,3.527,172.4,2.686
0.1604,0.03506,0.00846,81.3,4.523,396.2,6.59
0.05157,0.0124,0.003597,63.44,1.409,185.4,2.648
0.003443,0.003235,0.005894,101.6,3.34,442.5,7.125
0.9175,0.1274,0.003536,85.7,3.535,303.2,2.521
0.1342,0.0498,0.005356,347.2,2.842,382.0,3.547
0.5146,0.1598,0.004368,119.8,5.26,237.9,2.588
0.245,0.0846,0.002876,16.12,0.983,73.2,1.251
0.3691,0.03085,0.00222,11.945,0.522,71.44,0.9023
0.04532,0.01182,0.00793,460.0,7.55,682.5,5.836
0.1548,0.04727,0.002707,98.7,1.424,184.0,1.836
0.1404,0.02968,0.001874,27.1,0.8223,122.75,1.491
0.426,0.08276,0.001809,94.9,0.9165,174.9,1.243
0.10156,0.037,0.003813,49.12,1.724,171.2,3.236
0.801,0.2004,0.00248,59.53,2.502,91.25,1.372
0.01999,0.01817,0.00831,245.6,7.8,370.8,4.613
0.3347,0.1935,0.01418,369.5,16.69,1105.0,11.54
0.298,0.0972,0.00408,121.7,3.643,388.8,3.816
0.4634,0.1602,0.007492,117.75,6.41,343.5,3.807
0.2961,0.02176,0.001256,26.53,0.572,112.7,0.7236
0.212,0.05798,0.004524,182.9,2.389,306.5,2.896
0.2039,0.03004,0.001559,19.16,0.7715,101.4,1.264
0.0834,0.01996,0.002039,30.42,0.7725,87.5,1.137
0.09125,0.0226,0.01336,307.0,6.855,633.0,8.734
0.1298,0.02983,0.007492,147.6,4.695,474.0,5.363
0.1532,0.0719,0.0068,105.3,3.8,394.2,6.566
0.1041,0.03934,0.00481,194.6,2.479,437.8,6.582
0.2273,0.07465,0.004402,119.2,3.154,325.5,3.273
0.301,0.0588,0.001604,6.758,0.368,29.61,0.6187
0.3054,0.05612,0.001857,40.3,1.018,97.06,1.257
0.3018,0.1566,0.011185,285.8,6.598,425.5,5.742
0.0691,0.02422,0.00822,111.3,2.879,197.4,3.174
0.2095,0.0679,0.003086,82.94,1.732,188.5,2.096
0.2415,0.0966,0.004356,147.5,3.402,237.6,2.705
0.05713,0.01386,0.010155,274.5,3.645,493.8,6.715
0.2361,0.0648,0.004246,109.44,1.76,161.6,2.096
0.567,0.1525,0.002228,43.1,0.9766,70.3,1.109
0.04584,0.02936,0.006565,137.8,4.78,312.8,4.688
0.1262,0.04156,0.004055,65.94,1.653,114.75,2.086
0.1843,0.0583,0.00344,146.8,1.858,161.5,2.596
0.1392,0.02759,0.002272,36.78,0.997,106.56,1.346
0.2426,0.0689,0.003368,39.53,1.492,77.1,1.535
0.681,0.04367,0.000849,10.61,0.6167,34.6,0.3928
0.1074,0.01834,0.001653,35.84,0.4753,67.7,0.8237
0.727,0.02505,0.000552,7.562,0.3213,39.12,0.2932
0.1267,0.002129,0.003002,69.2,1.468,221.0,2.234
0.2023,0.04703,0.002485,71.4,1.116,129.5,1.842
0.06445,0.029,0.00862,69.56,2.967,196.0,4.105
0.0676,0.0202,0.01717,186.2,6.773,525.5,8.98
0.379,0.09247,0.004032,101.7,2.436,245.2,2.977
0.4148,0.2091,0.00584,92.6,5.76,311.2,5.043
0.3628,0.1743,0.00828,235.4,4.973,538.5,5.18
0.08997,0.02032,0.01178,257.0,8.39,633.0,8.445
0.1049,0.05374,0.00949,223.6,4.633,405.0,4.285
0.536,0.2108,0.00539,103.6,3.264,123.8,2.232
0.03323,0.01659,0.002846,107.7,1.231,216.2,2.176
0.06067,0.0401,0.00314,41.7,1.429,114.25,2.129
0.1133,0.052,0.00908,336.8,6.75,649.0,8.484
0.2461,0.0676,0.004436,120.75,2.15,315.2,3.283
1.0,0.0958,0.0013685,32.75,1.338,161.1,1.203
0.09235,0.03903,0.00799,307.2,4.24,464.2,4.617
0.1191,0.02388,0.002016,36.72,0.934,94.25,1.3125
0.293,0.0941,0.0051,67.75,2.377,205.1,2.691
0.10425,0.00814,0.00478,149.5,2.105,314.8,3.64
0.075,0.00249,0.011444,129.0,5.46,264.2,3.969
0.05026,0.00821,0.003305,32.62,1.213,173.0,2.395
0.4832,0.07184,0.001506,23.36,0.79,138.6,1.662
0.105,0.03336,0.004627,169.6,2.586,295.2,3.22
0.182,0.06033,0.004044,164.6,2.951,388.0,4.848
0.1454,0.02995,0.002075,36.94,0.8813,78.3,1.079
0.1324,0.0407,0.002335,12.88,0.4846,61.53,1.002
0.03348,0.01721,0.00906,294.0,6.895,383.0,4.754
0.1076,0.01685,0.00214,12.695,0.4707,48.6,0.8296
0.1906,0.0841,0.00844,228.9,7.59,399.2,4.227
1.0,0.01656,0.000736,12.4,0.54,58.16,0.4373
0.2878,0.04608,0.002453,38.06,1.187,170.5,1.794
0.8115,0.05127,0.001476,16.22,0.813,86.06,0.8354
0.0504,0.02023,0.003897,103.94,2.432,229.6,3.348
0.3062,0.0695,0.00201,14.68,0.525,34.16,0.738
0.056,0.016,0.003368,58.25,1.285,147.0,2.068
0.02177,0.009514,0.006,192.2,1.829,357.5,3.8
0.1388,0.04828,0.007137,207.6,4.254,274.2,4.023
0.0882,0.02124,0.001734,59.75,0.614,140.5,1.354
0.1704,0.04608,0.003378,49.94,1.377,148.4,1.878
0.0717,0.01672,0.00421,165.2,2.773,181.6,2.645
0.2803,0.0892,0.008316,289.0,4.7,328.2,4.016
0.145,0.0698,0.00694,204.1,5.586,260.2,4.613
0.06146,0.0235,0.0085,263.0,3.984,605.5,5.773
0.2798,0.1676,0.004807,202.8,7.492,192.0,2.441
0.1256,0.02869,0.00416,207.2,3.01,309.5,3.62
0.175,0.02258,0.001398,24.23,0.2097,80.75,0.7427
0.0838,0.01079,0.006153,117.75,3.984,316.8,3.703
0.1354,0.04123,0.00279,115.75,1.35,190.1,2.215
0.2064,0.02763,0.003548,9.69,0.9224,64.5,1.367
0.3115,0.1214,0.00482,210.9,3.748,281.2,3.227
0.03192,0.01064,0.006924,82.2,1.884,214.1,3.49
0.3638,0.0735,0.001991,23.31,0.816,64.1,0.948
0.07324,0.02083,0.008255,223.1,3.969,294.0,5.28
0.1282,0.0443,0.00264,42.16,1.035,102.75,1.541
1.0,0.10254,0.001526,15.71,1.129,53.47,0.7754
0.1075,0.026,0.001639,23.31,0.3098,75.3,0.9736
0.04337,0.004635,0.002914,78.6,1.596,226.6,2.666
0.09814,0.02094,0.01587,303.8,6.14,682.0,7.62
0.3677,0.07983,0.002419,67.6,1.263,138.9,1.449
0.2703,0.04282,0.003101,123.0,2.191,322.8,2.574
0.11084,0.02983,0.002436,15.445,0.4395,57.25,1.274
0.03864,0.01042,0.001656,8.69,0.3657,41.34,0.7686
0.2262,0.05606,0.002512,74.44,1.784,146.0,2.154
0.03284,0.01479,0.004982,62.12,2.479,119.44,2.303
0.9805,0.1583,0.001948,18.23,1.848,37.06,0.755
0.01689,0.005665,0.00629,228.0,5.41,421.5,6.117
0.06573,0.0197,0.001978,17.78,0.4116,89.1,1.165
0.161,0.05655,0.00783,156.9,4.746,355.2,4.773
0.0828,0.04868,0.00333,91.2,1.185,234.9,2.861
0.5815,0.0609,0.000928,5.715,0.1356,23.95,0.3386
0.0744,0.01997,0.012856,122.94,6.508,287.8,4.637
0.0637,0.01988,0.004486,229.0,3.094,276.8,2.82
0.991,0.02165,0.0006557,4.203,0.2864,31.17,0.3562
0.1287,0.04898,0.004044,68.1,1.546,166.5,1.657
0.145,0.0479,0.003492,48.4,1.233,102.44,1.629
0.01826,0.003452,0.005314,136.2,1.523,217.1,3.646
0.1262,0.0502,0.002565,127.75,1.997,173.4,2.342
0.0818,0.02449,0.00966,264.0,6.027,449.8,4.902
0.1094,0.0604,0.00611,116.3,2.818,411.2,5.35
0.4727,0.1422,0.005196,204.4,6.22,324.5,3.28
0.05734,0.01962,0.01152,140.9,3.318,364.8,5.56
